constituency_name,party,mp_name,category_2024,2024,category_2029,2029
City of Durham,LAB,Mary Foy,Christian plurality,49.18564103523446,Non-religious majority,50.80585443625629
Clacton,RFM,Nigel Farage,Christian majority,50.0920701714302,Non-religious majority,51.615153000419056
Clapham and Brixton Hill,LAB,Bell Ribeiro-Addy,Non-religious plurality,43.281602332211534,Non-religious plurality,47.91098053063013
Clwyd East,LAB,Becky Gittins,Christian majority,50.77144323145048,Non-religious plurality,49.92112373919943
Clwyd North,LAB,Gill German,Christian plurality,47.980464021196006,Non-religious majority,51.762803943663805
Colchester,LAB,Pam Cox,Non-religious plurality,47.001991562107825,Non-religious majority,53.953063779825094
Colne Valley,LAB,Paul Davies,Non-religious plurality,46.274797737773156,Non-religious majority,54.29043649191557
Congleton,LAB,Sarah Russell,Christian majority,53.82745678836842,Non-religious plurality,48.38639163184541
Corby and East Northamptonshire,LAB,Lee Barron,Christian plurality,49.41361992480073,Non-religious majority,50.52204497164394
Coventry East,LAB,Mary Creagh,Christian plurality,43.81991355648503,Christian plurality,37.87990834489549
Coventry North West,LAB,Taiwo Owatemi,Christian plurality,46.06082551312517,Christian plurality,40.12457643461592
Coventry South,YP,Zarah Sultana,Christian plurality,39.82314663909602,Non-religious plurality,35.52580704754693
Cramlington and Killingworth,LAB,Emma Foody,Non-religious plurality,47.454409838446054,Non-religious majority,56.49580890153175
Crawley,LAB,Peter Lamb,Christian plurality,42.03946425231224,Non-religious plurality,41.84660241747563
Crewe and Nantwich,LAB,Connor Naismith,Christian majority,52.342844014525966,Non-religious plurality,48.16727705721646
Croydon East,LAB,Natasha Irons,Christian plurality,49.250892724208164,Christian plurality,44.539421706618896
Croydon South,CON,Chris Philp,Christian plurality,46.996426896824126,Christian plurality,42.47871556777417
Croydon West,LAB,Sarah Jones,Christian plurality,47.54771557891805,Christian plurality,43.06632977341576
Dagenham and Rainham,LAB,Margaret Mullane,Christian plurality,48.91403441329419,Christian plurality,42.15198509642286
